masa_A
t	x	y
7,540866667E0	2,229458142E0	-3,585637206E1
7,557550000E0	2,867037050E0	-3,529117515E1
7,574233333E0	3,474806890E0	-3,474081100E1
7,590916667E0	3,988137164E0	-3,420863927E1
7,607600000E0	4,434606278E0	-3,367723644E1
7,624283333E0	4,840322933E0	-3,317205614E1
7,640966667E0	5,179709679E0	-3,269033068E1
7,657650000E0	5,475220039E0	-3,226414853E1
7,674333333E0	5,690278842E0	-3,189629126E1
7,691016667E0	5,905934798E0	-3,156233708E1
7,707700000E0	6,070808406E0	-3,127915477E1
7,724383333E0	6,217678786E0	-3,104617333E1
7,741066667E0	6,311430546E0	-3,085391117E1
7,757750000E0	6,367698203E0	-3,073048409E1
7,774433333E0	6,422845721E0	-3,064211200E1
7,791116667E0	6,439389543E0	-3,063666938E1
7,807800000E0	6,415427838E0	-3,066247006E1
7,824483333E0	6,362332794E0	-3,077339111E1
7,841166667E0	6,279922390E0	-3,094467312E1
7,857850000E0	6,160099266E0	-3,116564454E1
7,874533333E0	5,994345645E0	-3,141996463E1
7,891216667E0	5,813038867E0	-3,173491313E1
7,907900000E0	5,572112472E0	-3,211937604E1
7,924583333E0	5,304690373E0	-3,254993080E1
7,941266667E0	4,960634393E0	-3,300896864E1
7,957950000E0	4,593439343E0	-3,348821213E1
7,974633333E0	4,165354544E0	-3,399434841E1
7,991316667E0	3,647778053E0	-3,454025576E1
8,008000000E0	3,095674591E0	-3,508938657E1
8,024683333E0	2,472876863E0	-3,562802713E1
8,041366667E0	1,775039503E0	-3,618647831E1
8,058050000E0	1,032405451E0	-3,672165652E1
8,074733333E0	2,558701988E-1	-3,721028361E1
8,091416667E0	-6,336710564E-1	-3,769983859E1
8,108100000E0	-1,578009127E0	-3,811163771E1
8,124783333E0	-2,534448787E0	-3,851728459E1
8,141466667E0	-3,569665005E0	-3,882336598E1
8,158150000E0	-4,667016965E0	-3,906989649E1
8,174833333E0	-5,707000605E0	-3,927216247E1
8,191516667E0	-6,834115681E0	-3,936899111E1
8,208200000E0	-7,952821087E0	-3,937791234E1
8,224883333E0	-9,034057158E0	-3,931243222E1
8,241566667E0	-1,013814447E1	-3,917610656E1
8,258250000E0	-1,121535600E1	-3,898483128E1
8,274933333E0	-1,219234291E1	-3,873089689E1
8,291616667E0	-1,316850232E1	-3,835625613E1
8,308300000E0	-1,406189012E1	-3,803247859E1
8,324983333E0	-1,496003925E1	-3,762316322E1
8,341666667E0	-1,571840681E1	-3,722609849E1
8,358350000E0	-1,650152815E1	-3,670458690E1
8,375033333E0	-1,722155333E1	-3,612960678E1
8,391716667E0	-1,787219772E1	-3,560129847E1
8,408400000E0	-1,841961733E1	-3,507731525E1
8,425083333E0	-1,892485012E1	-3,461094068E1
8,441766667E0	-1,936748147E1	-3,417226911E1
8,458450000E0	-1,976624917E1	-3,375689237E1
8,475133333E0	-2,013640463E1	-3,332005738E1
8,491816667E0	-2,041564896E1	-3,290148075E1
8,508500000E0	-2,065828535E1	-3,253123673E1
8,525183333E0	-2,084347665E1	-3,222828383E1
8,541866667E0	-2,103618640E1	-3,195815134E1
8,558550000E0	-2,116322393E1	-3,175129089E1
8,575233333E0	-2,127022925E1	-3,157996393E1
8,591916667E0	-2,132877149E1	-3,148022692E1
8,608600000E0	-2,138245191E1	-3,142902176E1
8,625283333E0	-2,135649721E1	-3,142155963E1
8,641966667E0	-2,136889666E1	-3,145943765E1
8,658650000E0	-2,128277050E1	-3,157733945E1
8,675333333E0	-2,115586943E1	-3,170713345E1
8,692016667E0	-2,104802960E1	-3,191636973E1
8,708700000E0	-2,085095285E1	-3,218066802E1
8,725383333E0	-2,064615790E1	-3,249653628E1
8,742066667E0	-2,039410691E1	-3,282773656E1
8,758750000E0	-2,008191413E1	-3,323651522E1
8,775433333E0	-1,972918123E1	-3,364163702E1
8,792116667E0	-1,930845001E1	-3,408751632E1
8,808800000E0	-1,884973698E1	-3,458664357E1
8,825483333E0	-1,832787474E1	-3,508099336E1
8,842166667E0	-1,775349705E1	-3,559423411E1
8,858850000E0	-1,712834179E1	-3,609879173E1
8,875533333E0	-1,641939386E1	-3,660937175E1
8,892216667E0	-1,569482068E1	-3,708915296E1
8,908900000E0	-1,485939514E1	-3,757594931E1
8,925583333E0	-1,399123751E1	-3,802232020E1
8,942266667E0	-1,310289856E1	-3,835811791E1
8,958950000E0	-1,213485168E1	-3,868007311E1
8,975633333E0	-1,111892273E1	-3,897262028E1
8,992316667E0	-1,009198790E1	-3,918299957E1
